city,state_id,state_name,county_name,lat,lng,zips,id
South Creek,WA,Washington,Pierce,46.9994,-122.3921,98580 98387 98338,1840116412
Roslyn,WA,Washington,Kittitas,47.2507,-121.0989,98941 98068 98925,1840097718
Sprague,WA,Washington,Lincoln,47.3048,-117.9713,99032,1840096300
Gig Harbor,WA,Washington,Pierce,47.3352,-122.5968,98332 98335,1840097082
Lake Cassidy,WA,Washington,Snohomish,48.0639,-122.0920,98223 98258 98270,1840116371
Tenino,WA,Washington,Thurston,46.8537,-122.8607,98589,1840097290
Jamestown,WA,Washington,Clallam,48.1229,-123.0911,98382,1840116876
Three Lakes,WA,Washington,Snohomish,47.9420,-121.9924,98290,1840113264
Curlew Lake,WA,Washington,Ferry,48.7311,-118.6663,99166,1840118428
Chain Lake,WA,Washington,Snohomish,47.9038,-121.9861,98290,1840116340
Pateros,WA,Washington,Okanogan,48.0536,-119.8994,98846,1840097686
Rosburg,WA,Washington,Wahkiakum,46.3076,-123.6344,98643,1840116404
Parkland,WA,Washington,Pierce,47.1417,-122.4376,98444 98445 98447 98448,1840113004
Birch Bay,WA,Washington,Whatcom,48.9230,-122.7543,98230,1840111899
Ashford,WA,Washington,Pierce,46.7537,-122.0113,98304,1840111824
Navy Yard City,WA,Washington,Kitsap,47.5508,-122.6655,98312,1840112893
Omak,WA,Washington,Okanogan,48.4228,-119.5159,98841,1840097677
Farmington,WA,Washington,Whitman,47.0887,-117.0464,99128,1840097850
Buckley,WA,Washington,Pierce,47.1615,-122.0200,98321,1840097435
Cathcart,WA,Washington,Snohomish,47.8525,-122.1058,98296,1840112035
Poulsbo,WA,Washington,Kitsap,47.7417,-122.6408,98370,1840096283
Anacortes,WA,Washington,Skagit,48.4878,-122.6292,98221,1840096971
Maplewood,WA,Washington,Pierce,47.3715,-122.5689,98332,1840116381
Creston,WA,Washington,Lincoln,47.7595,-118.5200,99117,1840096226
Rockford,WA,Washington,Spokane,47.4513,-117.1307,99030,1840096289
Wishram,WA,Washington,Klickitat,45.6599,-120.9698,98673,1840113455
Centralia,WA,Washington,Lewis,46.7225,-122.9695,98531,1840096216
South Hill,WA,Washington,Pierce,47.1203,-122.2848,98375 98374 98373,1840112763
Longview Heights,WA,Washington,Cowlitz,46.1796,-122.9577,98632,1840112166
Erlands Point-Kitsap Lake,WA,Washington,Kitsap,47.5973,-122.7021,98312,1840112126
Amboy,WA,Washington,Clark,45.9122,-122.4795,98601 98675,1840111795
St. John,WA,Washington,Whitman,47.0915,-117.5887,99171,1840096292
Dallesport,WA,Washington,Klickitat,45.6316,-121.1749,98617 98635,1840112645
Ketron Island,WA,Washington,Pierce,47.1569,-122.6343,98388,1840096582
Mesa,WA,Washington,Franklin,46.5737,-119.0013,99326 99343,1840097177
Fife,WA,Washington,Pierce,47.2328,-122.3518,98424,1840097070
Moses Lake North,WA,Washington,Grant,47.1949,-119.3186,98837,1840112861
Chewelah,WA,Washington,Stevens,48.2929,-117.7336,99109,1840097452
Grayland,WA,Washington,Grays Harbor,46.8304,-124.0898,98547,1840112352
Kittitas,WA,Washington,Kittitas,46.9837,-120.4191,98934 98926,1840096254
Camano,WA,Washington,Island,48.1865,-122.4708,98282,1840111985
Monroe North,WA,Washington,Snohomish,47.8830,-121.9882,98290 98272,1840116385
North Bonneville,WA,Washington,Skamania,45.6425,-121.9689,98648 98639,1840097854
Klickitat,WA,Washington,Klickitat,45.8180,-121.1626,98628,1840112510
Loon Lake,WA,Washington,Stevens,48.0685,-117.6298,99148,1840097619
Newport,WA,Washington,Pend Oreille,48.1788,-117.0545,99156,1840097200
Mead,WA,Washington,Spokane,47.7795,-117.3500,99021,1840116382
Cashmere,WA,Washington,Chelan,47.5175,-120.4671,98815,1840097446
Aberdeen Gardens,WA,Washington,Grays Harbor,47.0587,-123.7791,98520,1840111752
Ocean Shores,WA,Washington,Grays Harbor,46.9685,-124.1521,98569,1840096329
Basin City,WA,Washington,Franklin,46.5891,-119.1567,99343,1840111853
Wilkeson,WA,Washington,Pierce,47.1034,-122.0495,98396,1840097808
Meadow Glade,WA,Washington,Clark,45.7524,-122.5614,98604,1840112796
Arlington Heights,WA,Washington,Snohomish,48.2119,-122.0630,98223,1840111815
Uniontown,WA,Washington,Whitman,46.5391,-117.0861,99179,1840096312
Oakesdale,WA,Washington,Whitman,47.1305,-117.2465,99158,1840096275
West Side Highway,WA,Washington,Cowlitz,46.1841,-122.9178,98626 98632,1840113405
Conconully,WA,Washington,Okanogan,48.5571,-119.7513,98819,1840097468
Latah,WA,Washington,Spokane,47.2822,-117.1557,99018,1840097145
Elma,WA,Washington,Grays Harbor,47.0055,-123.4112,98541,1840097057
Tieton,WA,Washington,Yakima,46.7026,-120.7560,98947,1840097764
Southworth,WA,Washington,Kitsap,47.5126,-122.5298,98366 98384 98386,1840116413
Danville,WA,Washington,Ferry,48.9938,-118.5068,99121,1840118429
Toppenish,WA,Washington,Yakima,46.3807,-120.3125,98948,1840097297
River Road,WA,Washington,Clallam,48.0677,-123.1276,98382,1840113143
Geneva,WA,Washington,Whatcom,48.7461,-122.4064,98229,1840112319
Yakima,WA,Washington,Yakima,46.5923,-120.5496,98901 98903 98902 98908 98904 98907,1840096318
